

model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
1D_L4	-4.1991177	4	1.2	1e-09	1e-09	0	0	4.4	1	0.13263463	0.56521745	0.39519564	0	-1.1558525e-10	1	-0.94512942	0.02240221	0.064985762	0.012651046	0.015982877	0.12908704	0	0.15104496	-16.54532	R0:N4:S0:1	3bcaa91	-4.1991177	2022-01-31@15:42
1D_L4	-4.1991252	4	1.2	1e-09	1e-09	0	0.01	4.4	1	0.13264321	0.56520318	0.39519832	-0.0010849117	-0.0030428525	1	-0.94513144	0.022403197	0.064989413	0.012651362	0.015983529	0.12909083	0	0.15103966	-16.545381	R0:N4:S0:1	3bcaa91	-4.1991252	2022-01-31@15:42
1D_L4	-4.1991252	4	1.2	1e-09	1e-09	0	-0.01	4.4	1	0.13264321	0.56520318	0.39519832	0.0010849116	0.0030428523	1	-0.94513144	0.022403197	0.064989413	0.012651362	0.015983529	0.12909083	0	0.15103966	-16.545381	R0:N4:S0:1	3bcaa91	-4.1991252	2022-01-31@15:42
1D_L4	-4.1991177	4	1.2	1e-09	1e-09	0	7.556869e-10	4.4	1	0.13263463	0.56521745	0.39519564	-1.2627228e-10	-3.3842593e-10	1	-0.94512942	0.02240221	0.064985762	0.012651046	0.015982877	0.12908704	0	0.15104496	-16.54532	R0:N4:S0:1	3bcaa91	-4.1991177	2022-01-31@15:42


model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
1D_L4	-4.4882901	4	1.4	1e-09	1e-09	0	7.556869e-10	4.8	1	0.14631133	0.5363842	0.4061803	-1.5407014e-10	-4.1142234e-10	1	-0.96229592	0.023595053	0.070225657	0.013412837	0.017837058	0.14249938	0	0.1312422	-17.704451	R0:N4:S0:1	3bcaa91	-4.4882901	2022-01-31@15:42
1D_L4	-4.4882945	4	1.4	1e-09	1e-09	0	0.010000001	4.8	1	0.14632186	0.53636632	0.40618356	-0.0013301747	-0.0036842417	1	-0.96229457	0.023596087	0.070229352	0.013413077	0.017837629	0.14250259	0	0.13123883	-17.704525	R0:N4:S0:1	3bcaa91	-4.4882945	2022-01-31@15:42
1D_L4	-4.4882945	4	1.4	1e-09	1e-09	0	-0.0099999992	4.8	1	0.14632186	0.53636632	0.40618356	0.0013301744	0.0036842408	1	-0.96229457	0.023596087	0.070229352	0.013413077	0.017837629	0.14250259	0	0.13123883	-17.704525	R0:N4:S0:1	3bcaa91	-4.4882945	2022-01-31@15:42
1D_L4	-4.4882901	4	1.4	1e-09	1e-09	0	-1.8658575e-10	4.8	1	0.14631133	0.5363842	0.4061803	0	0	1	-0.96229592	0.023595053	0.070225657	0.013412837	0.017837058	0.14249938	0	0.1312422	-17.704451	R0:N4:S0:1	3bcaa91	-4.4882901	2022-01-31@15:42


model	omega	U	V	V0m	V1m	cdw	cdw_1	mu	t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_cdw_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_cdw_1	var_mu_1	var_t_1	E0_1	sector_1	githash	omegaH	time
1D_L4	-4.7848991	4	1.6	1e-09	1e-09	0	-1.8658575e-10	5.2	1	0.16171185	0.504389	0.41823896	0	0	1	-0.97585795	0.024655648	0.074471327	0.014079828	0.019892265	0.15738821	0	0.11380713	-18.887953	R0:N4:S0:1	3bcaa91	-4.7848991	2022-01-31@15:42
1D_L4	-4.7849021	4	1.6	1e-09	1e-09	0	0.0099999998	5.2	1	0.16172456	0.50436719	0.41824258	-0.0016321815	-0.0044774996	1	-0.9758515	0.024656649	0.074474655	0.014079926	0.019892578	0.15738968	0	0.11380708	-18.888042	R0:N4:S0:1	3bcaa91	-4.7849021	2022-01-31@15:42
1D_L4	-4.7849021	4	1.6	1e-09	1e-09	0	-0.01	5.2	1	0.16172456	0.50436719	0.41824258	0.0016321814	0.0044774995	1	-0.9758515	0.024656649	0.074474655	0.014079926	0.019892578	0.15738968	0	0.11380708	-18.888042	R0:N4:S0:1	3bcaa91	-4.7849021	2022-01-31@15:42
