model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.5118717	-1.1273706	1.84	1	0.6654364	0.65798804	0.10538484	0.10084313	3.8974874	1.0008347	-0.67392472	-0.85605212	-0.86175501	0.042223607	0.09558143	0.097014571	0.039502759	0.41565768	1.7670431	1.7586912	-9.565966	R0:N6:S0:1	e569cda	 5.45e-04	 8.72e-07	 1.39e-06	2022-03-21@18:29
1D_2_4b	4	1.5332971	-1.1007275	1.82	1	0.66542603	0.65698655	0.10544204	0.10081698	3.8973123	1.0009353	-0.67390081	-0.85593825	-0.86231503	0.042241773	0.095562785	0.09716798	0.039514526	0.41562798	1.7675009	1.7581369	-9.4190594	R0:N6:S0:1	e569cda	 5.80e-04	 2.19e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5332816	-1.1006878	1.82	1	0.66542362	0.65697673	0.10544199	0.10081754	3.8973119	1.0009353	-0.67390066	-0.85594006	-0.86231553	0.042241758	0.09556331	0.097168334	0.039514552	0.41562787	1.7675008	1.7581371	-9.4188957	R0:N6:S0:1	e569cda	 5.80e-04	 0.00e+00	 7.88e-07	2022-03-21@18:29
1D_2_4b	4	1.5543108	-1.0736417	1.8	1	0.66534648	0.65588416	0.10549938	0.10080397	3.8971272	1.0010344	-0.6738732	-0.85586635	-0.86290059	0.042259979	0.095556121	0.097330465	0.039527953	0.41559396	1.7679463	1.7575826	-9.2703234	R0:N6:S0:1	e569cda	 6.20e-04	 9.79e-07	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5749593	-1.0462338	1.78	1	0.66520707	0.65470343	0.10555639	0.10080236	3.8969348	1.0011314	-0.67384262	-0.85583097	-0.86350327	0.042278071	0.095559836	0.097499534	0.039542673	0.41555654	1.7683779	1.7570329	-9.1202507	R0:N6:S0:1	e569cda	 6.67e-04	 4.68e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.5750517	-1.046225	1.78	1	0.66521859	0.65469864	0.10555632	0.1007987	3.8969368	1.0011323	-0.67384356	-0.85581823	-0.86349579	0.042278039	0.095556574	0.097497722	0.039541976	0.41555806	1.7683862	1.7570322	-9.1202128	R0:N6:S0:1	e569cda	 6.67e-04	 1.05e-06	 1.13e-06	2022-03-21@18:29
1D_2_4b	4	1.5750523	-1.0462254	1.78	1	0.66521676	0.65469793	0.10555624	0.10079809	3.8969372	1.0011324	-0.67384374	-0.85581577	-0.8634942	0.042278013	0.095556029	0.097497351	0.039541817	0.41555839	1.7683875	1.7570327	-9.1202122	R0:N6:S0:1	e569cda	 6.67e-04	 0.00e+00	 2.02e-07	2022-03-21@18:29
1D_2_4b	4	1.5955054	-1.0184375	1.76	1	0.66503335	0.65342359	0.10561313	0.10080032	3.8967401	1.0012298	-0.67381192	-0.85578959	-0.86410305	0.042296044	0.095563401	0.097670538	0.039556447	0.41552054	1.768826	1.7564826	-8.9685605	R0:N6:S0:1	e569cda	 7.23e-04	 1.86e-05	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.59549	-1.0184049	1.76	1	0.66502993	0.65341485	0.10561303	0.10080053	3.89674	1.0012297	-0.67381188	-0.85578999	-0.86410247	0.042296009	0.095563606	0.097670613	0.039556383	0.41552063	1.7688264	1.7564834	-8.9684245	R0:N6:S0:1	e569cda	 7.23e-04	 0.00e+00	 7.24e-07	2022-03-21@18:29
1D_2_4b	4	1.6156241	-0.99018062	1.74	1	0.66478636	0.65203305	0.10566961	0.10081129	3.8965359	1.0013264	-0.67377769	-0.85578901	-0.86472386	0.042313921	0.095578879	0.097849994	0.039571575	0.41548081	1.7692628	1.7559357	-8.814961	R0:N6:S0:1	e569cda	 7.88e-04	 7.66e-05	 1.00e+06	2022-03-21@18:29
